Intro, 0:00
How does fuzzy logic controller work?, 2:01
Complete architecture of an FLC, 3:59
Membership Function, 4:44
Fuzzy Rule Base, 6:17
Defuzzification using COG method, 9:15
FLC: A complete perspective, 11:29
Genetic Algorithm: Basic Flow Chart, 15:55
Single link manipulator, 19:44
Comparative Performance, 27:11
The Univariate Marginal Distribution Algorithm, 28:57
Fuzzy parameters: Optimization, 44:02
Fuzzy inverse model: SGA, 47:23
Feedback fuzzy PD Controller, 50:04
Robot Arm Control Simulated, 52:20
